Year,New Or Old,Address,Production Origin,Color,Car Gearbox,Used (kilomet),Company,Fuel Type,Machine Capacity (L) Random,Price
2010, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 90000, Lexus, máy xăng, 5.7, 2 Tỷ 660 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Honda, máy xăng, 1.5, 534 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2016, Xe cũ, TP HCM, Xe nhập khẩu, màu đỏ, số tự động, 94000, Lexus, máy xăng, 2.0, 2 Tỷ 399 Triệu
2019, Xe cũ, TP HCM, Xe nhập khẩu, màu đen, số tự động, 40000, Ford, máy dầu, 2.0, 1 Tỷ 275 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đỏ, số tự động, 8000, Kia, máy xăng, 2.5, 1 Tỷ 199 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu cam, số tự động, 0, Ford, máy dầu, 2.0, 937 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 50, Mercedes, máy xăng, 2.0, 2 Tỷ 499 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 2.0, 1 Tỷ 50 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 1.8, 699 Triệu
2021, Xe cũ, TP HCM, Xe nhập khẩu, màu đen, số tự động, 5000, Lexus, máy xăng, 5.7, 9 Tỷ 600 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 60000, Mercedes, máy xăng, 2.0, 1 Tỷ 660 Triệu
2020, Xe cũ, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 13000, Lexus, máy xăng, 2.5, 2 Tỷ 560 Triệu
2019, Xe cũ, TP HCM, Xe nhập khẩu, màu đen, số tự động, 32000, Lexus, máy xăng, 5.7, 8 Tỷ 900 Triệu
2020, Xe cũ, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 17000, Lexus, máy xăng, 5.7, 10 Tỷ 600 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 48000, Lexus, máy xăng, 3.5, 2 Tỷ 979 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 55000, Porsche, máy xăng, 3.0, 4 Tỷ 466 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Ford, máy dầu, 2.0, 779 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 0, BMW, máy xăng, 2.0, 5 Tỷ 199 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu xám, số tự động, 5000, Mercedes, máy xăng, 2.0, 1 Tỷ 950 Triệu
2015, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 70000, Mercedes, máy xăng, 2.0, 940 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, Kia, máy dầu, 2.2, 1 Tỷ 489 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Kia, máy xăng, 1.4, 639 Triệu
2017, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 35000, Mercedes, máy xăng, 1.6, 1 Tỷ 168 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 6000, Mercedes, máy xăng, 2.0, 1 Tỷ 659 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 30000, Mercedes, máy xăng, 2.0, 1 Tỷ 768 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 24000, Mercedes, máy xăng, 2.0, 1 Tỷ 760 Triệu
2021, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 10000, Lexus, máy xăng, 3.5, 4 Tỷ 460 Triệu
2022, Xe mới, Bình Dương, Xe nhập khẩu, màu xanh, số tự động, 0, Toyota, máy xăng, 1.8, 846 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 20000, Mazda, máy xăng, 2.5, 799 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tay, 0, Hyundai, máy xăng, 1.25, 328 Triệu
2017, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 62000, Ford, máy xăng, 2.3, 1 Tỷ 440 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, Ford, máy dầu, 2.2, 640 Triệu
2006, Xe cũ, TP HCM, Xe nhập khẩu, màu đen, số tự động, 90000, Lexus, máy xăng, 3.5, 580 Triệu
2011, Xe cũ, TP HCM, Xe nhập khẩu, màu xám, số tự động, 72000, Toyota, máy xăng, 2.7, 790 Triệu
2013, Xe cũ, TP HCM, Xe nhập khẩu, màu xám, số tự động, 55000, LandRover, máy xăng, 2.0, 1 Tỷ 80 Triệu
2011, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 61000, Mitsubishi, máy xăng, 2.4, 480 Triệu
2022, Xe mới, Tiền Giang, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mazda, máy xăng, 1.5, 719 Triệu
2021, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Hyundai, máy dầu, 2.2, 1 Tỷ 340 Triệu
2021, Xe mới, Bắc Ninh, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 1.8, 830 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu xanh, số tự động, 0, VinFast, máy xăng, 2.0, 976 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu đỏ, số tự động, 0, LandRover, máy xăng, 3.0, 7 Tỷ 55 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 2980, Mercedes, máy xăng, 2.0, 2 Tỷ 450 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu vàng, số tự động, 0, Honda, máy xăng, 1.2, 410 Triệu
2022, Xe mới, Cần Thơ, Xe lắp ráp trong nước, màu đen, số tự động, 0, Hyundai, máy dầu, 2.2, 1 Tỷ 290 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, Honda, máy xăng, 1.5, 544 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 3888, Mercedes, máy xăng, 2.0, 2 Tỷ 899 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 9500, Mercedes, máy xăng, 2.0, 1 Tỷ 615 Triệu
2009, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu bạc, số tự động, 94000, Toyota, máy xăng, 2.7, 385 Triệu
2022, Xe mới, Đồng Nai, Xe lắp ráp trong nước, màu đen, số tự động, 0, VinFast, máy xăng, 2.0, 948 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu đỏ, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 200 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Honda, máy xăng, 1.5, 860 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, VinFast, máy xăng, 2.0, 671 Triệu
2018, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 57000, Mercedes, máy xăng, 2.0, 1 Tỷ 685 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 5000, Mercedes, máy xăng, 4.7, 3 Tỷ 580 Triệu
2021, Xe mới, Gia Lai, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Honda, máy xăng, 1.5, 599 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu bạc, số tự động, 60000, Mercedes, máy xăng, 2.0, 1 Tỷ 660 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Mercedes, máy xăng, 2.0, 3 Tỷ 129 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu bạc, số tự động, 0, Toyota, máy xăng, 1.5, 688 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 45000, Lexus, máy xăng, 2.0, 2 Tỷ 450 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Hyundai, máy xăng, 2.5, 1 Tỷ 270 Triệu
2021, Xe mới, Ninh Thuận, Xe nhập khẩu, màu trắng, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2015, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu bạc, số tự động, 60000, Toyota, máy xăng, 2.7, 575 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 0, Toyota, máy xăng, 1.8, 750 Triệu
2022, Xe mới, Bắc Ninh, Xe lắp ráp trong nước, màu đen, số tự động, 0, Toyota, máy xăng, 1.5, 581 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xám, số tay, 0, Ford, máy dầu, 2.2, 610 Triệu
1995, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu xám, số tay, 245668, Mazda, máy xăng, 2.0, 63 Triệu
2022, Xe mới, Vĩnh Phúc, Xe nhập khẩu, màu xanh, số tự động, 0, Toyota, xe hybrid, 1.8, 936 Triệu
2015, Xe cũ, Ninh Bình, Xe lắp ráp trong nước, màu cát, số tay, 6886, Kia, máy xăng, 1.25, 169 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, xe hybrid, 1.8, 860 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu nâu, số tự động, 0, Honda, máy xăng, 1.5, 530 Triệu
2021, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tay, 0, Hyundai, máy xăng, 1.25, 330 Triệu
2008, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 145000, Mercedes, máy xăng, 1.8, 328 Triệu
2020, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 9999, Toyota, máy xăng, 1.5, 539 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 0, Mercedes, máy xăng, 1.5, 2 Tỷ 50 Triệu
2006, Xe cũ, TP HCM, Xe nhập khẩu, màu đen, số tự động, 120000, BMW, máy xăng, 3.0, 275 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 930 Triệu
2017, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 50000, Ford, máy xăng, 2.3, 1 Tỷ 380 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 39679, Mercedes, máy xăng, 2.0, 1 Tỷ 620 Triệu
2019, Xe cũ, Đồng Nai, Xe nhập khẩu, màu trắng, số tự động, 67000, Ford, máy dầu, 2.2, 716 Triệu
2022, Xe mới, Lâm Đồng, Xe nhập khẩu, màu trắng, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 419 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, MG, máy xăng, 1.5, 519 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Kia, máy xăng, 1.6, 764 Triệu
2022, Xe mới, Vĩnh Phúc, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Mazda, máy xăng, 2.0, 818 Triệu
2017, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu nâu, số tự động, 30000, Mercedes, máy xăng, 2.0, 1 Tỷ 888 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mazda, máy xăng, 1.5, 627 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Mercedes, máy xăng, 3.0, 5 Tỷ 749 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 63000, BMW, máy xăng, 2.0, 2 Tỷ 550 Triệu
2022, Xe mới, Hải Dương, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Toyota, máy xăng, 1.5, 586 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Toyota, máy xăng, 1.5, 536 Triệu
2022, Xe mới, Bắc Giang, Xe nhập khẩu, màu đỏ, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 412 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 66579, LandRover, máy xăng, 3.0, 4 Tỷ 430 Triệu
2021, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu ghi, số tự động, 0, Ford, máy dầu, 2.2, 650 Triệu
2018, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 38000, Mercedes, máy xăng, 2.0, 1 Tỷ 725 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 10000, Mercedes, máy xăng, 2.0, 2 Tỷ 345 Triệu
2013, Xe cũ, TP HCM, Xe nhập khẩu, màu cát, số tự động, 45000, LandRover, máy xăng, 3.0, 2 Tỷ 450 Triệu
2021, Xe mới, Bắc Ninh, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, xe hybrid, 1.8, 920 Triệu
2018, Xe cũ, Thanh Hóa, Xe lắp ráp trong nước, màu trắng, số tự động, 4, Mazda, máy xăng, 1.5, 555 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu vàng, số tự động, 12000, Lexus, máy xăng, 2.0, 3 Tỷ 85 Triệu
2022, Xe mới, Lâm Đồng, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Peugeot, máy xăng, 1.2, 844 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 5000, Mercedes, máy xăng, 1.5, 1 Tỷ 449 Triệu
2021, Xe mới, Đồng Nai, Xe nhập khẩu, màu trắng, số tự động, 0, MG, máy xăng, 1.5, 569 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu cát, số tự động, 0, Toyota, máy xăng, 1.5, 536 Triệu
2019, Xe cũ, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 31000, Toyota, máy dầu, 2.8, 890 Triệu
2019, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 84000, Honda, máy xăng, 1.5, 480 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu đen, số tay, 0, Hyundai, máy xăng, 1.4, 452 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 49 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 49 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu xám, số tự động, 70000, Lexus, máy xăng, 2.0, 1 Tỷ 680 Triệu
2015, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 76000, Mercedes, máy xăng, 3.0, 2 Tỷ 350 Triệu
2021, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Hyundai, máy xăng, 1.25, 422 Triệu
2015, Xe cũ, TP HCM, Xe nhập khẩu, màu đen, số tự động, 90000, Hyundai, máy xăng, 1.6, 455 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Toyota, máy dầu, 2.4, 1 Tỷ 107 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 50000, Toyota, máy xăng, 2.7, 1 Tỷ 625 Triệu
2016, Xe cũ, TP HCM, Xe nhập khẩu, màu đen, số tự động, 47000, BMW, máy xăng, 3.0, 2 Tỷ 990 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xám, số tự động, 0, Peugeot, máy xăng, 1.6, 1 Tỷ 129 Triệu
2020, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu xanh, số tự động, 12000, Mercedes, máy xăng, 2.0, 1 Tỷ 959 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 0, Nissan, máy xăng, 1.0, 529 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 27000, Mazda, máy xăng, 1.5, 619 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu nâu, số tự động, 68000, Honda, máy xăng, 1.5, 425 Triệu
2014, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 45000, LandRover, máy xăng, 5.0, 4 Tỷ 679 Triệu
2008, Xe cũ, Hà Nội, Xe nhập khẩu, màu vàng, số tự động, 86000, Nissan, máy xăng, 1.6, 239 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 69 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu cam, số tự động, 0, Ford, máy dầu, 2.0, 937 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 10000, Mercedes, máy xăng, 3.0, 4 Tỷ 280 Triệu
2005, Xe cũ, Hưng Yên, Xe lắp ráp trong nước, màu xanh, số tay, 150000, Toyota, máy dầu, 2.5, 138 Triệu
2021, Xe mới, Bình Dương, Xe nhập khẩu, màu trắng, số tự động, 0, MG, máy xăng, 1.5, 509 Triệu
2022, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 6000, Hyundai, máy dầu, 2.2, 1 Tỷ 570 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 45000, Mercedes, máy xăng, 2.0, 1 Tỷ 195 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu cam, số tự động, 0, VinFast, máy xăng, 1.4, 352 Triệu
2014, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 40000, Toyota, máy xăng, 2.0, 960 Triệu
2022, Xe mới, Bình Dương, Xe nhập khẩu, màu xám, số tự động, 0, Honda, máy xăng, 1.5, 770 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Toyota, máy xăng, 1.5, 491 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu đỏ, số tự động, 0, Jeep, máy xăng, 2.0, 3 Tỷ 688 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu xanh, số tự động, 0, Jeep, máy xăng, 2.0, 3 Tỷ 586 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu đen, số tự động, 0, Jeep, máy xăng, 2.0, 3 Tỷ 356 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 25000, Mercedes, máy xăng, 2.0, 2 Tỷ 370 Triệu
2008, Xe cũ, Hà Nội, Xe nhập khẩu, màu bạc, số tay, 22, Hyundai, máy dầu, 2.5, 299 Triệu
2022, Xe mới, Nam Định, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 1.8, 763 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu nâu, số tự động, 0, Toyota, máy dầu, 2.4, 1 Tỷ 107 Triệu
2022, Xe mới, Hà Nam, Xe lắp ráp trong nước, màu trắng, số tự động, 0, VinFast, máy xăng, 1.4, 373 Triệu
2022, Xe mới, Vĩnh Phúc, Xe nhập khẩu, màu bạc, số tự động, 0, MG, máy xăng, 1.5, 619 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu đỏ, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 193 Triệu
2018, Xe cũ, Long An, Xe lắp ráp trong nước, màu trắng, số tự động, 38000, Mazda, máy xăng, 2.0, 765 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu đỏ, số tự động, 0, Mitsubishi, máy xăng, 1.2, 485 Triệu
2021, Xe mới, TP HCM, Xe lắp ráp trong nước, màu đỏ, số tay, 0, Hyundai, máy xăng, 1.4, 467 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu nâu, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2011, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 85000, Porsche, máy xăng, 3.6, 1 Tỷ 680 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 11000, Lexus, máy xăng, 3.5, 4 Tỷ 90 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu đen, số tự động, 0, Suzuki, máy xăng, 1.5, 589 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu xám, số tự động, 0, Jeep, máy xăng, 2.0, 3 Tỷ 688 Triệu
2021, Xe cũ, TP HCM, Xe nhập khẩu, màu đen, số tự động, 3000, Jeep, máy xăng, 2.0, 3 Tỷ 399 Triệu
2021, Xe cũ, Hà Nội, Xe nhập khẩu, màu xám, số tự động, 2000, LandRover, máy xăng, 3.0, 13 Tỷ
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 40000, BMW, máy xăng, 2.0, 899 Triệu
2020, Xe cũ, Hải Dương, Xe lắp ráp trong nước, màu trắng, số tự động, 30000, Mazda, máy xăng, 2.0, 795 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 22000, Mercedes, máy xăng, 3.0, 2 Tỷ 650 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 40000, Mercedes, máy xăng, 2.0, 1 Tỷ 199 Triệu
