id,car,price, origin,condition,carType,km,carColor,interiorColor,carDoor,carSeat,engine,gear,wheelDrive
Mã: 3805354,Lexus ES 250 - 2020,2560000000,Nhập khẩu,Xe đã dùng,Sedan,"13,000 Km",Trắng,Nâu,4 cửa,5 chỗ,Xăng2.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4333449,Rolls Royce Ghost Series II - 2015,19500000000,Nhập khẩu,Xe đã dùng,Sedan,"50,000 Km",Đen,Kem,4 cửa,4 chỗ,Xăng6.6L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4106743,Ford Everest Titanium 2.0L 4x4 AT - 2022,1350000000,Nhập khẩu,Xe mới,SUV,0 Km,Trắng,Đen,5 cửa,7 chỗ,Dầu2.0L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4310427,Ford Focus Trend 1.5L - 2018,505000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"45,000 Km",Trắng,Nâu,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 3448880,Suzuki Super Carry Truck 1.0 MT - 2022,235000000,Lắp ráp trong nước,Xe mới,Truck,0 Km,Trắng,Màu khác,2 cửa,2 chỗ,Xăng1.0L,Số tay,RFD - Dẫn động cầu sau
Mã: 3779600,BMW 5 Series 520i Luxury - 2021,2376000000,Nhập khẩu,Xe mới,Sedan,0 Km,Xám,Nhiều màu,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4448605,Mazda 2 Luxury - 2020,510000000,Nhập khẩu,Xe đã dùng,Sedan,"160,000 Km",Trắng,Đen,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 3805354,Lexus ES 250 - 2020,2560000000,Nhập khẩu,Xe đã dùng,Sedan,"13,000 Km",Trắng,Nâu,4 cửa,5 chỗ,Xăng2.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4333449,Rolls Royce Ghost Series II - 2015,19500000000,Nhập khẩu,Xe đã dùng,Sedan,"50,000 Km",Đen,Kem,4 cửa,4 chỗ,Xăng6.6L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4106743,Ford Everest Titanium 2.0L 4x4 AT - 2022,1350000000,Nhập khẩu,Xe mới,SUV,0 Km,Trắng,Đen,5 cửa,7 chỗ,Dầu2.0L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4310427,Ford Focus Trend 1.5L - 2018,505000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"45,000 Km",Trắng,Nâu,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 3448880,Suzuki Super Carry Truck 1.0 MT - 2022,235000000,Lắp ráp trong nước,Xe mới,Truck,0 Km,Trắng,Màu khác,2 cửa,2 chỗ,Xăng1.0L,Số tay,RFD - Dẫn động cầu sau
Mã: 3779600,BMW 5 Series 520i Luxury - 2021,2376000000,Nhập khẩu,Xe mới,Sedan,0 Km,Xám,Nhiều màu,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4448906,Toyota Rush 1.5 - 2020,620000000,Nhập khẩu,Xe đã dùng,SUV,"15,000 Km",Trắng,-,5 cửa,7 chỗ,Xăng,Số tự động,RFD - Dẫn động cầu sau
Mã: 3891948,BMW 5 Series 530i M Sport - 2022,3389000000,Nhập khẩu,Xe mới,Sedan,0 Km,Xám,Đen,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4232322,Ford Everest Titanium 2.0L 4x4 AT - 2022,1359000000,Nhập khẩu,Xe mới,SUV,0 Km,Trắng,Đen,5 cửa,7 chỗ,Dầu2.0L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 1578213,Hyundai Porter H150 - 2022,420000000,Nhập khẩu,Xe mới,Truck,0 Km,Trắng,Ghi,2 cửa,3 chỗ,Dầu2.5L,Số tay,RFD - Dẫn động cầu sau
Mã: 4372971,Mercedes Benz C class C200 - 2016,985000000,Lắp ráp trong nước,Xe đã dùng,Sedan,0 Km,Đỏ,Đen,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4449002,Lexus RX 350 - 2015,1995000000,Nhập khẩu,Xe đã dùng,SUV,"70,000 Km",Trắng,Kem,5 cửa,5 chỗ,Xăng,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4432390,Hyundai Tucson 2.0 AT Đặc biệt - 2021,895000000,Lắp ráp trong nước,Xe đã dùng,Crossover,"18,000 Km",Đỏ,Kem,5 cửa,5 chỗ,Xăng2.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4413710,Toyota Camry 2.5Q - 2017,855000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"38,000 Km",Đen,Nâu,4 cửa,5 chỗ,Xăng2.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 3691763,Toyota Yaris G 1.5 AT - 2022,656000000,Nhập khẩu,Xe mới,Hatchback,0 Km,Đỏ,Kem,5 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4270492,BMW X6 xDrive40i M Sport - 2022,4979000000,Nhập khẩu,Xe mới,SUV,0 Km,Đen,Nâu,5 cửa,5 chỗ,Xăng3.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 3797477,Honda City L 1.5 AT - 2021,534000000,Lắp ráp trong nước,Xe mới,Sedan,0 Km,Trắng,-,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4448986,Ford Ranger - 2020,695000000,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,"38,123 Km",Đen,Nâu,4 cửa,5 chỗ,Dầu,Số tự động,FWD - Dẫn động cầu trước
Mã: 4296249,BMW 7 Series 740Li - 2016,2990000000,Nhập khẩu,Xe đã dùng,Sedan,"47,000 Km",Đen,Kem,4 cửa,5 chỗ,Xăng3.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4296249,BMW 7 Series 740Li - 2016,2990000000,Nhập khẩu,Xe đã dùng,Sedan,"47,000 Km",Đen,Kem,4 cửa,5 chỗ,Xăng3.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4032797,Hyundai SantaFe Cao cấp 2.5L HTRAC - 2021,1240000000,Lắp ráp trong nước,Xe mới,SUV,0 Km,Đỏ,Nâu,4 cửa,7 chỗ,Xăng2.5L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4417172,Kia Rondo GAT - 2016,465000000,Lắp ráp trong nước,Xe đã dùng,SUV,"78,000 Km",Bạc,Màu khác,5 cửa,7 chỗ,Xăng2.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 3871639,Ford Ranger Wildtrak 2.0L 4x4 AT - 2021,937000000,Nhập khẩu,Xe mới,Bán tải / Pickup,0 Km,Cam,Đen,4 cửa,5 chỗ,Dầu2.0L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 3989633,Nissan Almera VL 1.0 CVT Cao cấp - 2021,568000000,Nhập khẩu,Xe mới,Sedan,0 Km,Cam,Đen,4 cửa,5 chỗ,Xăng1.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4384234,Ford Fiesta S 1.0AT Ecoboost - 2016,370000000,Lắp ráp trong nước,Xe đã dùng,Hatchback,"75,000 Km",Trắng,Đen,5 cửa,5 chỗ,Xăng1.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4410334,Acura TL 3.2 AT - 2007,365000000,Nhập khẩu,Xe đã dùng,Sedan,"101,111 Km",Bạc,Kem,4 cửa,5 chỗ,Xăng3.2L,Số tự động,FWD - Dẫn động cầu trước
Mã: 304604,Toyota Vios G 1.5 CVT - 2022,581000000,Lắp ráp trong nước,Xe mới,Sedan,0 Km,Đen,Kem,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4439113,Toyota Fortuner 2.4G 4x2 AT - 2018,999000000,Nhập khẩu,Xe đã dùng,SUV,"73,000 Km",Trắng,Đen,5 cửa,8 chỗ,Dầu2.4L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4258706,LandRover Range Rover Autobiography LWB Black Edition - 2015,6400000000,Nhập khẩu,Xe đã dùng,SUV,0 Km,Đen,-,5 cửa,4 chỗ,Xăng5.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4448981,Mercedes Benz GLC Mercedes 300 AMG - 2020,2345000000,Lắp ráp trong nước,Xe đã dùng,SUV,"20,000 Km",Trắng,Kem,5 cửa,5 chỗ,Xăng,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4404347,Hyundai Elantra 2.0 AT - 2020,658000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"30,000 Km",Kem,Kem,4 cửa,5 chỗ,Xăng2.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4268899,Toyota Prado TXL 2.7L - 2015,1625000000,Nhập khẩu,Xe đã dùng,SUV,"50,000 Km",Đen,-,5 cửa,7 chỗ,Xăng2.7L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4424562,Toyota Vios 1.5G - 2020,570000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"4,500 Km",Trắng,Kem,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 3564476,Ford Ranger Wildtrak 2.0L 4x4 AT - 2022,848000000,Lắp ráp trong nước,Xe mới,Bán tải / Pickup,0 Km,Vàng,Nâu,4 cửa,5 chỗ,Dầu2.0L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4352420,Hyundai SantaFe Cao cấp 2.2L HTRAC - 2022,1398000000,Lắp ráp trong nước,Xe mới,SUV,0 Km,Trắng,Nâu,5 cửa,7 chỗ,Dầu2.2L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4422389,Hyundai Creta Cao cấp 1.5 AT - 2022,730000000,Nhập khẩu,Xe mới,Crossover,0 Km,Trắng,Đen,5 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4407083,Kia Frontier K165 - 2017,360000000,Lắp ráp trong nước,Xe đã dùng,Truck,"86,000 Km",Xanh,Đen,2 cửa,3 chỗ,Dầu,Số tay,RFD - Dẫn động cầu sau
Mã: 4270980,VinFast Lux A 2.0 2.0 AT - 2020,720000000,Lắp ráp trong nước,Xe đã dùng,Sedan,0 Km,Đỏ,Nâu,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4441094,Honda HRV L - 2022,831000000,Nhập khẩu,Xe mới,Crossover,0 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4441094,Honda HRV L - 2022,831000000,Nhập khẩu,Xe mới,Crossover,0 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4427101,Honda CRV L - 2022,1118000000,Lắp ráp trong nước,Xe mới,SUV,0 Km,Trắng,Đen,5 cửa,7 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4290439,Ford Ranger XLS 2.2L 4x2 AT - 2022,662000000,Lắp ráp trong nước,Xe mới,Bán tải / Pickup,0 Km,Nâu,Đen,4 cửa,5 chỗ,Dầu2.2L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4433698,Toyota Corolla Cross 1.8V - 2020,890000000,Nhập khẩu,Xe đã dùng,SUV,"17,000 Km",Xanh,Đen,5 cửa,5 chỗ,Xăng1.8L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4382501,Toyota Vios 1.5G - 2019,499000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"45,000 Km",Trắng,Kem,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4254539,Ford Ranger XLS 2.2L 4x2 AT - 2022,662000000,Lắp ráp trong nước,Xe mới,Bán tải / Pickup,0 Km,Đen,Đen,4 cửa,5 chỗ,Dầu2.2L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4374787,Honda City 1.5 AT - 2014,370000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"75,000 Km",Nâu,Nhiều màu,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4381811,Mercedes Benz E class E300 AMG - 2020,2499000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"14,000 Km",Đỏ,Đen,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4422469,Kia Carnival Luxury 2.2D - 2022,1379000000,Lắp ráp trong nước,Xe đã dùng,Van/Minivan,"5,000 Km",Đen,Kem,5 cửa,8 chỗ,Dầu2.2L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4437718,Mazda 2 Luxury - 2019,510000000,Nhập khẩu,Xe đã dùng,Sedan,"6,000 Km",Đỏ,Đen,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4441165,Mitsubishi Outlander Premium 2.0 CVT - 2022,950000000,Lắp ráp trong nước,Xe mới,SUV,0 Km,Đỏ,Đen,5 cửa,7 chỗ,Xăng2.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4412303,Toyota Vios G 1.5 CVT - 2021,585000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"20,000 Km",Nâu,Kem,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4441123,Mitsubishi Xpander Premium 1.5 AT - 2022,648000000,Nhập khẩu,Xe mới,SUV,0 Km,Đen,Đen,5 cửa,7 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4344730,Audi A6 2.0T - 2013,888000000,Nhập khẩu,Xe đã dùng,Sedan,"70,000 Km",Trắng,Kem,5 cửa,5 chỗ,Xăng2.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4344385,Suzuki Swift GLX 1.2 AT - 2022,530000000,Nhập khẩu,Xe mới,Hatchback,0 Km,Đỏ,Màu khác,5 cửa,5 chỗ,Xăng1.2L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4176235,Kia Sorento Luxury 2.2 AT - 2022,1159000000,Lắp ráp trong nước,Xe mới,SUV,0 Km,Xanh,Màu khác,5 cửa,7 chỗ,Dầu2.2L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4311972,Lexus RX 350 - 2019,4050000000,Nhập khẩu,Xe đã dùng,SUV,"18,000 Km",Trắng,Nâu,5 cửa,5 chỗ,Xăng3.5L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4369833,Toyota Yaris 1.3G - 2015,470000000,Nhập khẩu,Xe đã dùng,Hatchback,"99,000 Km",Bạc,Đen,5 cửa,5 chỗ,Xăng1.3L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4443419,Toyota Corolla altis 1.8G AT - 2021,728000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"16,000 Km",Trắng,Đen,4 cửa,5 chỗ,Xăng1.8L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4397694,LandRover Range Rover Velar R - Dynamic SE 2.0 - 2022,5199000000,Nhập khẩu,Xe mới,SUV,0 Km,Vàng,Kem,4 cửa,5 chỗ,Xăng,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4426965,Honda City RS 1.5 AT - 2021,616000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"18,000 Km",Đỏ,Đen,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4069413,Mitsubishi Attrage 1.2 MT - 2022,320000000,Nhập khẩu,Xe mới,Sedan,0 Km,Trắng,-,4 cửa,5 chỗ,Xăng1.2L,Số tay,FWD - Dẫn động cầu trước
Mã: 4176419,Lexus RX 350 - 2022,4190000000,Nhập khẩu,Xe mới,SUV,0 Km,Cát,Nâu,5 cửa,5 chỗ,Xăng3.5L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4415025,Ford Ranger XLS 2.2L 4x2 AT - 2020,685000000,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,"17,000 Km",Đen,Đen,4 cửa,5 chỗ,Dầu2.2L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4378586,Audi A4 40 TFSI Advanced - 2020,1690000000,Nhập khẩu,Xe đã dùng,Sedan,"5,000 Km",Trắng,Đen,4 cửa,5 chỗ,Xăng2.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4448984,Mercedes Benz C class C300 AMG - 2015,1068000000,Lắp ráp trong nước,Xe đã dùng,Sedan,0 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4365628,Mercedes Benz C class C250 Exclusive - 2018,1330000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"50,000 Km",Trắng,Đen,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4189968,Toyota Innova 2.0E - 2013,365000000,Lắp ráp trong nước,Xe đã dùng,Crossover,0 Km,Bạc,Màu khác,5 cửa,8 chỗ,Xăng2.0L,Số tay,RFD - Dẫn động cầu sau
Mã: 4413180,Mazda CX5 2.0 AT - 2016,660000000,Lắp ráp trong nước,Xe đã dùng,SUV,"70,000 Km",Trắng,Đen,5 cửa,5 chỗ,Xăng2.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4444255,Toyota Vios 1.5E - 2017,379000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"80,000 Km",Vàng,Đồng,4 cửa,5 chỗ,Xăng1.5L,Số tay,FWD - Dẫn động cầu trước
Mã: 4444882,Toyota Fortuner 2.5G - 2016,720000000,Lắp ráp trong nước,Xe đã dùng,SUV,"80,000 Km",Bạc,Nâu,5 cửa,8 chỗ,Dầu2.5L,Số tay,RFD - Dẫn động cầu sau
Mã: 4448159,Toyota Innova 2.0E - 2016,465000000,Lắp ráp trong nước,Xe đã dùng,Crossover,0 Km,Đen,Đen,5 cửa,8 chỗ,Xăng2.0L,Số tay,RFD - Dẫn động cầu sau
Mã: 4412963,Suzuki Vitara 1.6 AT - 2016,608000000,Nhập khẩu,Xe đã dùng,SUV,0 Km,Xanh,Đen,5 cửa,5 chỗ,Xăng1.6L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4331373,Chevrolet Orlando LTZ 1.8 - 2017,455000000,Lắp ráp trong nước,Xe đã dùng,SUV,"45,000 Km",Trắng,Màu khác,5 cửa,7 chỗ,Xăng1.8L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4410258,Hyundai County - 2009,330000000,Lắp ráp trong nước,Xe đã dùng,Van/Minivan,"12,345 Km",Kem,Nhiều màu,2 cửa,29 chỗ,Dầu,Số tay,RFD - Dẫn động cầu sau
Mã: 4341978,Hyundai SantaFe Cao cấp 2.2L HTRAC - 2021,1522000000,Lắp ráp trong nước,Xe đã dùng,SUV,"9,668 Km",Trắng,Nâu,5 cửa,7 chỗ,Dầu2.2L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4296956,Toyota Prado VX 2.7L - 2022,2588000000,Nhập khẩu,Xe mới,SUV,0 Km,Trắng,Kem,5 cửa,7 chỗ,Xăng2.7L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4414646,Mercedes Benz GLC 250 4Matic - 2017,1429000000,Lắp ráp trong nước,Xe đã dùng,SUV,"40,000 Km",Đỏ,Đen,5 cửa,5 chỗ,Xăng2.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4132897,Toyota Fortuner 2.4G 4x2 AT - 2022,1087000000,Lắp ráp trong nước,Xe mới,SUV,0 Km,Trắng,Đen,5 cửa,7 chỗ,Dầu2.4L,Số tự động,RFD - Dẫn động cầu sau
Mã: 3877369,Volvo XC90 B6 Inscription - 2022,3950000000,Nhập khẩu,Xe mới,SUV,0 Km,Đen,Nâu,5 cửa,7 chỗ,Xăng2.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4413991,Honda CRV 2.4 AT - 2013,619000000,Lắp ráp trong nước,Xe đã dùng,SUV,"57,000 Km",Đen,Đen,5 cửa,5 chỗ,Xăng2.4L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4397033,Ford Everest Titanium 2.0L 4x4 AT - 2021,1439000000,Nhập khẩu,Xe đã dùng,SUV,"8,585 Km",Đen,Đen,5 cửa,7 chỗ,Dầu2.0L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4385556,Porsche Cayenne Turbo - 2007,1150000000,Nhập khẩu,Xe đã dùng,SUV,0 Km,Đen,Nâu,5 cửa,5 chỗ,Xăng4.8L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4353565,BMW X5 xDrive35i - 2011,880000000,Nhập khẩu,Xe đã dùng,SUV,"106,000 Km",Nâu,Kem,5 cửa,7 chỗ,Xăng3.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4385259,Mazda CX8 Luxury - 2020,990000000,Lắp ráp trong nước,Xe đã dùng,SUV,"42,000 Km",Đỏ,Đen,5 cửa,7 chỗ,Xăng2.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4444377,Hyundai SantaFe 2.4L 4WD - 2018,880000000,Lắp ráp trong nước,Xe đã dùng,SUV,0 Km,Nâu,Kem,5 cửa,7 chỗ,Xăng2.4L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4448991,Toyota Prado TXL 2.7L - 2017,1750000000,Nhập khẩu,Xe đã dùng,SUV,"65,000 Km",Đen,Đen,5 cửa,7 chỗ,Xăng,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4248160,Mazda 2 Luxury - 2019,505000000,Nhập khẩu,Xe đã dùng,Sedan,"36,000 Km",Trắng,Đen,4 cửa,5 chỗ,Xăng1.5L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4352261,Peugeot Traveller Luxury - 2019,1360000000,Lắp ráp trong nước,Xe đã dùng,Van/Minivan,0 Km,Trắng,Ghi,5 cửa,7 chỗ,Dầu2.0L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4448979,Ford Ranger XLS 2.2 - 2020,699000000,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,"44,000 Km",Trắng,Đen,4 cửa,5 chỗ,Dầu,Số tự động,RFD - Dẫn động cầu sau
Mã: 3880002,Mercedes Benz E class E180 - 2022,2099000000,Lắp ráp trong nước,Xe mới,Sedan,0 Km,Trắng,Nâu,4 cửa,5 chỗ,Xăng1.5L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4364853,Porsche Macan 2.0 - 2015,2580000000,Nhập khẩu,Xe đã dùng,SUV,"50,000 Km",Trắng,Đen,5 cửa,5 chỗ,Xăng2.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4291734,Toyota Corolla Cross 1.8HV - 2022,860000000,Nhập khẩu,Xe mới,SUV,0 Km,Đen,Kem,4 cửa,5 chỗ,Hybrid1.8L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4327430,Porsche Macan S - 2019,4450000000,Nhập khẩu,Xe đã dùng,SUV,"55,000 Km",Trắng,Nâu,5 cửa,5 chỗ,Xăng3.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 2824217,Ford Everest Titanium 2.0L 4x4 AT - 2022,1328000000,Nhập khẩu,Xe mới,SUV,0 Km,Trắng,Ghi,5 cửa,7 chỗ,Dầu2.0L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4428658,Toyota Innova 2.0E - 2014,355000000,Lắp ráp trong nước,Xe đã dùng,Crossover,"90,000 Km",Cát,Kem,5 cửa,8 chỗ,Xăng2.0L,Số tay,RFD - Dẫn động cầu sau
Mã: 4447076,Lexus RX 450h - 2009,1100000000,Nhập khẩu,Xe đã dùng,SUV,"87,000 Km",Bạc,Ghi,5 cửa,5 chỗ,Hybrid3.5L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4448050,Mitsubishi Attrage Premium 1.2 CVT - 2022,485000000,Nhập khẩu,Xe mới,Sedan,0 Km,Trắng,Màu khác,4 cửa,5 chỗ,Xăng1.2L,Số tự động,FWD - Dẫn động cầu trước
